time,sizex,sizey,sizez,filltype,fill,ndatapts,ttotal,tksearch,tfrsearch,tprocessing,interactionlistmethod
2018-12-06T10:22:25.849819,0.005,0.01,0.005,clusters10,0.512,128000,1.97403,0.0147082,0.00966382,1.94138,1
2018-12-06T10:22:28.832978,0.005,0.01,0.005,clusters20,0.512,128000,1.82133,0.0145982,0.00944602,1.78901,1
2018-12-06T10:22:31.701797,0.005,0.01,0.005,clusters20,0.512,128000,1.777,0.0136753,0.00909358,1.74347,1
2018-12-06T10:22:34.478418,0.005,0.01,0.005,clusters20,0.512,128000,1.80442,0.0145886,0.00943317,1.77214,1
2018-12-06T10:22:36.858403,0.005,0.01,0.005,corners,0.112632,28158,16.1621,0.0572085,0.0462767,16.049,1
2018-12-06T10:22:53.652570,0.005,0.01,0.005,corners,0.112632,28158,15.1005,0.0575978,0.0465126,14.9876,1
2018-12-06T10:23:09.400965,0.005,0.01,0.005,corners,0.112632,28158,15.2758,0.0601268,0.0472442,15.1596,1
2018-12-06T10:23:25.228680,0.005,0.01,0.005,corners,0.0288,7200,15.6778,0.0667463,0.0506395,15.55,1
2018-12-06T10:23:41.458776,0.005,0.01,0.005,corners,0.0288,7200,15.2433,0.0630047,0.0493321,15.1214,1
2018-12-06T10:23:57.262044,0.005,0.01,0.005,corners,0.0288,7200,14.5917,0.0567489,0.0467131,14.4786,1
2018-12-06T10:24:12.560800,0.005,0.01,0.005,diagonal,0.117696,29424,12.8214,0.0579064,0.0407149,12.7131,1
2018-12-06T10:24:26.028212,0.005,0.01,0.005,diagonal,0.117696,29424,11.525,0.0526417,0.0387985,11.4246,1
2018-12-06T10:24:38.185592,0.005,0.01,0.005,diagonal,0.117696,29424,10.6991,0.0449056,0.0356735,10.6085,1
2018-12-06T10:24:49.550203,0.005,0.01,0.005,corners,0.148176,37044,14.9859,0.061893,0.0477379,14.8669,1
2018-12-06T10:25:05.197289,0.005,0.01,0.005,corners,0.148176,37044,14.4562,0.0589659,0.0461799,14.3415,1
